heure,jour,occupation,temperature,is_weekend
0,1,8,16,0
1,1,5,15,0
2,1,4,15,0
3,1,3,14,0
4,1,4,14,0
5,1,6,15,0
6,1,10,16,0
7,1,18,17,0
8,1,30,18,0
9,1,45,19,0
10,1,60,20,0
11,1,72,22,0
12,1,88,25,0
13,1,92,26,0
14,1,65,27,0
15,1,50,28,0
16,1,42,27,0
17,1,38,26,0
18,1,28,24,0
19,1,20,22,0
20,1,15,21,0
21,1,12,20,0
22,1,10,19,0
23,1,8,17,0
8,5,18,20,1
9,5,25,21,1
10,5,40,23,1
11,5,55,24,1
12,5,65,26,1
13,5,70,27,1
14,5,72,28,1
15,5,75,28,1
16,5,80,27,1
17,5,88,26,1
18,5,90,24,1
19,5,93,23,1
20,5,95,22,1
21,5,90,21,1
22,5,75,20,1
23,5,50,19,1
8,3,35,19,0
9,3,50,20,0
10,3,68,22,0
11,3,78,24,0
12,3,90,26,0
13,3,88,27,0
14,3,62,27,0
15,3,48,28,0
16,3,40,27,0
17,3,35,25,0
